epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
209,12947.6,0.98761,0.78748,0.98147,0.59621,0.0058816,0.0058816,0.0058816
210,13008.5,0.98889,0.78769,0.98168,0.59036,0.0058618,0.0058618,0.0058618
211,13069.5,0.98608,0.7879,0.98205,0.58858,0.005842,0.005842,0.005842
212,13130.4,0.98883,0.78784,0.98189,0.58873,0.0058222,0.0058222,0.0058222
213,13191.6,0.98464,0.78784,0.9822,0.58846,0.0058024,0.0058024,0.0058024
214,13252.6,0.98371,0.78816,0.98215,0.58459,0.0057826,0.0057826,0.0057826
215,13313.5,0.98514,0.78862,0.98226,0.58604,0.0057628,0.0057628,0.0057628
216,13374.5,0.97741,0.78857,0.9822,0.58342,0.005743,0.005743,0.005743
217,13435.5,0.98095,0.78836,0.98231,0.59368,0.0057232,0.0057232,0.0057232
218,13496.7,0.97752,0.78915,0.9822,0.59074,0.0057034,0.0057034,0.0057034
219,13557.6,0.97418,0.78987,0.982,0.58418,0.0056836,0.0056836,0.0056836
220,13618.6,0.97557,0.7893,0.982,0.58538,0.0056638,0.0056638,0.0056638
221,13679.5,0.9787,0.78956,0.98205,0.58579,0.005644,0.005644,0.005644
222,13740.4,0.97414,0.78941,0.98215,0.58032,0.0056242,0.0056242,0.0056242
223,13801.6,0.9759,0.7906,0.9822,0.57919,0.0056044,0.0056044,0.0056044
224,13862.6,0.97469,0.79138,0.98246,0.57851,0.0055846,0.0055846,0.0055846
225,13923.6,0.97448,0.79222,0.98267,0.57732,0.0055648,0.0055648,0.0055648
226,13984.6,0.97657,0.79185,0.98252,0.57748,0.005545,0.005545,0.005545
227,14045.5,0.97011,0.79206,0.98257,0.58137,0.0055252,0.0055252,0.0055252
228,14106.8,0.9718,0.79305,0.98293,0.57759,0.0055054,0.0055054,0.0055054
229,14167.8,0.97152,0.79294,0.98293,0.57786,0.0054856,0.0054856,0.0054856
230,14228.8,0.97083,0.7931,0.98298,0.57293,0.0054658,0.0054658,0.0054658
231,14289.8,0.96895,0.79331,0.98304,0.57308,0.005446,0.005446,0.005446
232,14350.8,0.96707,0.79367,0.98314,0.57255,0.0054262,0.0054262,0.0054262
233,14412,0.97253,0.79263,0.9835,0.57027,0.0054064,0.0054064,0.0054064
234,14472.8,0.9655,0.793,0.98335,0.57642,0.0053866,0.0053866,0.0053866
235,14533.8,0.96408,0.79357,0.9833,0.56927,0.0053668,0.0053668,0.0053668
236,14594.9,0.96774,0.79357,0.98309,0.56612,0.005347,0.005347,0.005347
237,14656,0.96155,0.79482,0.9833,0.57316,0.0053272,0.0053272,0.0053272
238,14717.2,0.96176,0.7956,0.98345,0.5727,0.0053074,0.0053074,0.0053074
239,14778,0.96274,0.79549,0.98371,0.57007,0.0052876,0.0052876,0.0052876
240,14838.9,0.96017,0.79601,0.9834,0.57254,0.0052678,0.0052678,0.0052678
241,14899.9,0.96058,0.79633,0.98382,0.56502,0.005248,0.005248,0.005248
242,14960.8,0.96143,0.79674,0.98371,0.57346,0.0052282,0.0052282,0.0052282
243,15022,0.96118,0.797,0.98366,0.57018,0.0052084,0.0052084,0.0052084
244,15083,0.95742,0.79747,0.98371,0.56299,0.0051886,0.0051886,0.0051886
245,15143.8,0.95559,0.79716,0.98408,0.56677,0.0051688,0.0051688,0.0051688
246,15204.7,0.95598,0.79737,0.98382,0.56141,0.005149,0.005149,0.005149
247,15265.6,0.95364,0.79721,0.98366,0.56753,0.0051292,0.0051292,0.0051292
248,15326.8,0.95435,0.79763,0.98366,0.56319,0.0051094,0.0051094,0.0051094
249,15387.8,0.95501,0.79763,0.98387,0.56534,0.0050896,0.0050896,0.0050896
250,15448.8,0.95148,0.79737,0.98397,0.56263,0.0050698,0.0050698,0.0050698
251,15509.7,0.95254,0.79773,0.98408,0.56441,0.00505,0.00505,0.00505
252,15570.6,0.95092,0.79747,0.98413,0.56301,0.0050302,0.0050302,0.0050302
253,15631.8,0.95035,0.79721,0.98408,0.56163,0.0050104,0.0050104,0.0050104
254,15692.9,0.94738,0.79794,0.98402,0.56246,0.0049906,0.0049906,0.0049906
255,15753.8,0.94623,0.79841,0.98408,0.55708,0.0049708,0.0049708,0.0049708
256,15814.8,0.94445,0.79877,0.98392,0.5571,0.004951,0.004951,0.004951
257,15875.8,0.94583,0.79856,0.98382,0.55759,0.0049312,0.0049312,0.0049312
258,15936.7,0.94557,0.79924,0.98371,0.56888,0.0049114,0.0049114,0.0049114
259,15998.1,0.94186,0.79971,0.98428,0.55659,0.0048916,0.0048916,0.0048916
260,16058.9,0.94518,0.7994,0.98408,0.55713,0.0048718,0.0048718,0.0048718
261,16119.8,0.94556,0.79919,0.98428,0.5549,0.004852,0.004852,0.004852
262,16180.8,0.94175,0.79992,0.98439,0.56049,0.0048322,0.0048322,0.0048322
263,16241.6,0.94047,0.79986,0.98444,0.56384,0.0048124,0.0048124,0.0048124
264,16302.7,0.94025,0.79971,0.98428,0.56002,0.0047926,0.0047926,0.0047926
265,16363.6,0.93915,0.80033,0.98408,0.56053,0.0047728,0.0047728,0.0047728
266,16424.6,0.93802,0.80117,0.98439,0.54847,0.004753,0.004753,0.004753
267,16485.5,0.93567,0.80205,0.98439,0.54942,0.0047332,0.0047332,0.0047332
268,16546.5,0.93277,0.80247,0.98449,0.55137,0.0047134,0.0047134,0.0047134
269,16607.7,0.93728,0.80304,0.98444,0.54703,0.0046936,0.0046936,0.0046936
270,16668.6,0.93326,0.80283,0.98491,0.54911,0.0046738,0.0046738,0.0046738
271,16729.5,0.93326,0.802,0.98512,0.54618,0.004654,0.004654,0.004654
272,16790.3,0.93425,0.80236,0.98512,0.54684,0.0046342,0.0046342,0.0046342
273,16851.2,0.92608,0.80309,0.98501,0.54835,0.0046144,0.0046144,0.0046144
274,16912.4,0.93188,0.80262,0.98501,0.54758,0.0045946,0.0045946,0.0045946
275,16973.4,0.93096,0.80314,0.98507,0.54738,0.0045748,0.0045748,0.0045748
276,17034.3,0.93353,0.80288,0.98491,0.54635,0.004555,0.004555,0.004555
277,17095.3,0.92705,0.80366,0.98496,0.54479,0.0045352,0.0045352,0.0045352
278,17156.3,0.92811,0.80408,0.98496,0.54139,0.0045154,0.0045154,0.0045154
279,17217.4,0.92604,0.80429,0.98512,0.5458,0.0044956,0.0044956,0.0044956
280,17278.4,0.92552,0.80408,0.98501,0.53963,0.0044758,0.0044758,0.0044758
281,17339.4,0.91922,0.80538,0.98496,0.53865,0.004456,0.004456,0.004456
282,17400.3,0.92215,0.80569,0.98548,0.5415,0.0044362,0.0044362,0.0044362
